instant,dteday,season,month,hour,holiday,a_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,day_category,humidity_category
42,1/2/2011,Spring,January,18,0,Sunday,Misty,14.76,16.665,46,22.0028,10,43,53,Weekend,Medium
43,1/2/2011,Spring,January,19,0,Sunday,Clear,13.12,14.395,42,30.0026,1,29,30,Weekend,Medium
44,1/2/2011,Spring,January,20,0,Sunday,Clear,12.3,13.635,39,23.9994,5,17,22,Weekend,Medium
45,1/2/2011,Spring,January,21,0,Sunday,Clear,10.66,11.365,44,22.0028,11,20,31,Weekend,Medium
46,1/2/2011,Spring,January,22,0,Sunday,Clear,9.84,10.605,44,19.9995,0,9,9,Weekend,Medium
47,1/2/2011,Spring,January,23,0,Sunday,Clear,9.02,11.365,47,11.0014,0,8,8,Weekend,Medium
48,1/3/2011,Spring,January,0,0,Monday,Clear,9.02,9.85,44,23.9994,0,5,5,Weekday,Medium
49,1/3/2011,Spring,January,1,0,Monday,Clear,8.2,8.335,44,27.9993,0,2,2,Weekday,Medium
50,1/3/2011,Spring,January,4,0,Monday,Clear,6.56,6.82,47,26.0027,0,1,1,Weekday,Medium
51,1/3/2011,Spring,January,5,0,Monday,Clear,6.56,6.82,47,19.0012,0,3,3,Weekday,Medium
52,1/3/2011,Spring,January,6,0,Monday,Clear,5.74,5.305,50,26.0027,0,30,30,Weekday,Medium
53,1/3/2011,Spring,January,7,0,Monday,Clear,5.74,6.82,50,12.998,1,63,64,Weekday,Medium
54,1/3/2011,Spring,January,8,0,Monday,Clear,5.74,6.06,50,19.0012,1,153,154,Weekday,Medium
55,1/3/2011,Spring,January,9,0,Monday,Clear,6.56,6.82,43,26.0027,7,81,88,Weekday,Medium
56,1/3/2011,Spring,January,10,0,Monday,Clear,7.38,8.335,43,16.9979,11,33,44,Weekday,Medium
57,1/3/2011,Spring,January,11,0,Monday,Clear,8.2,9.09,40,22.0028,10,41,51,Weekday,Medium
58,1/3/2011,Spring,January,12,0,Monday,Clear,9.02,10.605,35,19.9995,13,48,61,Weekday,Low
59,1/3/2011,Spring,January,13,0,Monday,Clear,9.84,10.605,35,19.0012,8,53,61,Weekday,Low
60,1/3/2011,Spring,January,14,0,Monday,Clear,10.66,12.12,30,19.0012,11,66,77,Weekday,Low
61,1/3/2011,Spring,January,15,0,Monday,Clear,10.66,12.12,30,16.9979,14,58,72,Weekday,Low
62,1/3/2011,Spring,January,16,0,Monday,Clear,10.66,12.12,30,16.9979,9,67,76,Weekday,Low
63,1/3/2011,Spring,January,17,0,Monday,Clear,9.84,11.365,30,15.0013,11,146,157,Weekday,Low
64,1/3/2011,Spring,January,18,0,Monday,Clear,9.84,12.88,32,7.0015,9,148,157,Weekday,Low
65,1/3/2011,Spring,January,19,0,Monday,Clear,8.2,12.88,47,0,8,102,110,Weekday,Medium
66,1/3/2011,Spring,January,20,0,Monday,Clear,8.2,11.365,47,7.0015,3,49,52,Weekday,Medium
67,1/3/2011,Spring,January,21,0,Monday,Clear,7.38,9.85,64,8.9981,3,49,52,Weekday,Medium
68,1/3/2011,Spring,January,22,0,Monday,Clear,5.74,7.575,69,8.9981,0,20,20,Weekday,Medium
69,1/3/2011,Spring,January,23,0,Monday,Clear,7.38,10.605,55,7.0015,1,11,12,Weekday,Medium
70,1/4/2011,Spring,January,0,0,Tuesday,Clear,6.56,9.09,55,7.0015,0,5,5,Weekday,Medium
71,1/4/2011,Spring,January,1,0,Tuesday,Clear,6.56,9.09,59,7.0015,0,2,2,Weekday,Medium
72,1/4/2011,Spring,January,2,0,Tuesday,Clear,5.74,7.575,63,8.9981,0,1,1,Weekday,Medium
73,1/4/2011,Spring,January,4,0,Tuesday,Clear,5.74,9.09,63,6.0032,0,2,2,Weekday,Medium
74,1/4/2011,Spring,January,5,0,Tuesday,Clear,4.92,7.575,68,7.0015,0,4,4,Weekday,Medium
75,1/4/2011,Spring,January,6,0,Tuesday,Clear,4.92,7.575,74,7.0015,0,36,36,Weekday,High
76,1/4/2011,Spring,January,7,0,Tuesday,Clear,4.92,7.575,74,8.9981,2,92,94,Weekday,High
77,1/4/2011,Spring,January,8,0,Tuesday,Clear,5.74,7.575,69,11.0014,2,177,179,Weekday,Medium
78,1/4/2011,Spring,January,9,0,Tuesday,Clear,6.56,7.575,64,15.0013,2,98,100,Weekday,Medium
79,1/4/2011,Spring,January,10,0,Tuesday,Misty,6.56,6.82,69,22.0028,5,37,42,Weekday,Medium
80,1/4/2011,Spring,January,11,0,Tuesday,Clear,9.02,10.605,51,19.9995,7,50,57,Weekday,Medium
81,1/4/2011,Spring,January,12,0,Tuesday,Clear,9.02,11.365,51,11.0014,12,66,78,Weekday,Medium
82,1/4/2011,Spring,January,13,0,Tuesday,Clear,9.84,11.365,56,12.998,18,79,97,Weekday,Medium
83,1/4/2011,Spring,January,14,0,Tuesday,Clear,10.66,12.88,52,15.0013,9,54,63,Weekday,Medium
84,1/4/2011,Spring,January,15,0,Tuesday,Clear,11.48,13.635,52,16.9979,17,48,65,Weekday,Medium
85,1/4/2011,Spring,January,16,0,Tuesday,Clear,12.3,14.395,49,16.9979,15,68,83,Weekday,Medium
86,1/4/2011,Spring,January,17,0,Tuesday,Clear,11.48,13.635,48,15.0013,10,202,212,Weekday,Medium
87,1/4/2011,Spring,January,18,0,Tuesday,Clear,10.66,12.88,48,12.998,3,179,182,Weekday,Medium
88,1/4/2011,Spring,January,19,0,Tuesday,Clear,9.84,12.88,48,7.0015,2,110,112,Weekday,Medium
89,1/4/2011,Spring,January,20,0,Tuesday,Clear,9.84,12.88,48,7.0015,1,53,54,Weekday,Medium
90,1/4/2011,Spring,January,21,0,Tuesday,Clear,9.02,13.635,64,0,0,48,48,Weekday,Medium
91,1/4/2011,Spring,January,22,0,Tuesday,Clear,9.02,12.88,64,6.0032,1,34,35,Weekday,Medium
92,1/4/2011,Spring,January,23,0,Tuesday,Clear,8.2,11.365,69,6.0032,2,9,11,Weekday,Medium
93,1/5/2011,Spring,January,0,0,Wednesday,Clear,8.2,12.88,64,0,0,6,6,Weekday,Medium
94,1/5/2011,Spring,January,1,0,Wednesday,Clear,6.56,9.85,74,6.0032,0,6,6,Weekday,High
95,1/5/2011,Spring,January,2,0,Wednesday,Clear,6.56,9.85,74,6.0032,0,2,2,Weekday,High
96,1/5/2011,Spring,January,4,0,Wednesday,Clear,9.84,11.365,48,15.0013,0,2,2,Weekday,Medium
97,1/5/2011,Spring,January,5,0,Wednesday,Clear,9.02,11.365,47,11.0014,0,3,3,Weekday,Medium
98,1/5/2011,Spring,January,6,0,Wednesday,Clear,8.2,9.85,47,15.0013,0,33,33,Weekday,Medium
99,1/5/2011,Spring,January,7,0,Wednesday,Clear,7.38,9.09,43,12.998,1,87,88,Weekday,Medium
100,1/5/2011,Spring,January,8,0,Wednesday,Clear,8.2,9.09,40,19.9995,3,192,195,Weekday,Medium
101,1/5/2011,Spring,January,9,0,Wednesday,Clear,9.02,9.85,37,22.0028,6,109,115,Weekday,Medium
102,1/5/2011,Spring,January,10,0,Wednesday,Clear,9.02,9.85,37,22.0028,4,53,57,Weekday,Medium
103,1/5/2011,Spring,January,11,0,Wednesday,Clear,10.66,11.365,33,22.0028,12,34,46,Weekday,Low
104,1/5/2011,Spring,January,12,0,Wednesday,Clear,10.66,11.365,33,22.0028,5,74,79,Weekday,Low
105,1/5/2011,Spring,January,13,0,Wednesday,Clear,11.48,12.88,30,19.9995,6,65,71,Weekday,Low
106,1/5/2011,Spring,January,14,0,Wednesday,Clear,12.3,14.395,28,12.998,10,52,62,Weekday,Low
107,1/5/2011,Spring,January,15,0,Wednesday,Clear,12.3,14.395,28,12.998,7,55,62,Weekday,Low
108,1/5/2011,Spring,January,16,0,Wednesday,Clear,12.3,15.91,28,6.0032,4,85,89,Weekday,Low
109,1/5/2011,Spring,January,17,0,Wednesday,Clear,9.84,11.365,38,12.998,4,186,190,Weekday,Medium
110,1/5/2011,Spring,January,18,0,Wednesday,Clear,9.84,12.12,38,8.9981,3,166,169,Weekday,Medium
111,1/5/2011,Spring,January,19,0,Wednesday,Clear,9.84,12.88,38,7.0015,5,127,132,Weekday,Medium
112,1/5/2011,Spring,January,20,0,Wednesday,Clear,9.02,11.365,47,11.0014,7,82,89,Weekday,Medium
113,1/5/2011,Spring,January,21,0,Wednesday,Clear,8.2,9.85,51,12.998,3,40,43,Weekday,Medium
114,1/5/2011,Spring,January,22,0,Wednesday,Clear,7.38,9.85,55,8.9981,1,41,42,Weekday,Medium
115,1/5/2011,Spring,January,23,0,Wednesday,Clear,8.2,12.88,47,0,1,18,19,Weekday,Medium
116,1/6/2011,Spring,January,0,0,Thursday,Clear,7.38,12.12,55,0,0,11,11,Weekday,Medium
117,1/6/2011,Spring,January,1,0,Thursday,Clear,6.56,11.365,64,0,0,4,4,Weekday,Medium
118,1/6/2011,Spring,January,2,0,Thursday,Clear,6.56,11.365,64,0,0,2,2,Weekday,Medium
119,1/6/2011,Spring,January,4,0,Thursday,Misty,6.56,9.85,64,6.0032,0,1,1,Weekday,Medium
120,1/6/2011,Spring,January,5,0,Thursday,Misty,5.74,9.09,69,6.0032,0,4,4,Weekday,Medium
121,1/6/2011,Spring,January,6,0,Thursday,Misty,5.74,8.335,63,7.0015,0,36,36,Weekday,Medium
122,1/6/2011,Spring,January,7,0,Thursday,Misty,6.56,11.365,59,0,0,95,95,Weekday,Medium
123,1/6/2011,Spring,January,8,0,Thursday,Clear,6.56,11.365,59,0,3,216,219,Weekday,Medium
124,1/6/2011,Spring,January,9,0,Thursday,Misty,7.38,12.12,51,0,6,116,122,Weekday,Medium
125,1/6/2011,Spring,January,10,0,Thursday,Clear,8.2,12.88,47,0,3,42,45,Weekday,Medium
126,1/6/2011,Spring,January,11,0,Thursday,Clear,9.02,12.88,44,6.0032,2,57,59,Weekday,Medium
127,1/6/2011,Spring,January,12,0,Thursday,Clear,10.66,14.395,35,0,6,78,84,Weekday,Low
128,1/6/2011,Spring,January,13,0,Thursday,Clear,10.66,13.635,35,7.0015,12,55,67,Weekday,Low
129,1/6/2011,Spring,January,14,0,Thursday,Clear,11.48,13.635,36,11.0014,11,59,70,Weekday,Medium
130,1/6/2011,Spring,January,15,0,Thursday,Clear,11.48,13.635,36,0,8,54,62,Weekday,Medium
131,1/6/2011,Spring,January,16,0,Thursday,Clear,10.66,12.88,38,11.0014,12,74,86,Weekday,Medium
132,1/6/2011,Spring,January,17,0,Thursday,Clear,9.02,11.365,51,11.0014,9,163,172,Weekday,Medium
133,1/6/2011,Spring,January,18,0,Thursday,Clear,9.02,11.365,51,8.9981,5,158,163,Weekday,Medium
134,1/6/2011,Spring,January,19,0,Thursday,Clear,9.02,12.88,55,6.0032,3,109,112,Weekday,Medium
135,1/6/2011,Spring,January,20,0,Thursday,Clear,8.2,10.605,51,11.0014,3,66,69,Weekday,Medium
136,1/6/2011,Spring,January,21,0,Thursday,Misty,9.02,10.605,55,15.0013,0,48,48,Weekday,Medium
137,1/6/2011,Spring,January,22,0,Thursday,Misty,9.02,10.605,51,19.0012,1,51,52,Weekday,Medium
138,1/6/2011,Spring,January,23,0,Thursday,Misty,8.2,9.85,59,12.998,4,19,23,Weekday,Medium
139,1/7/2011,Spring,January,0,0,Friday,Misty,8.2,9.85,64,12.998,4,13,17,Weekday,Medium
140,1/7/2011,Spring,January,1,0,Friday,Misty,8.2,9.85,69,15.0013,2,5,7,Weekday,Medium
141,1/7/2011,Spring,January,2,0,Friday,Misty,8.2,9.85,69,15.0013,0,1,1,Weekday,Medium
142,1/7/2011,Spring,January,4,0,Friday,Misty,8.2,10.605,69,8.9981,0,1,1,Weekday,Medium
143,1/7/2011,Spring,January,5,0,Friday,Light Rainsnow,9.02,13.635,55,0,0,5,5,Weekday,Medium
144,1/7/2011,Spring,January,6,0,Friday,Misty,8.2,12.88,69,0,8,26,34,Weekday,Medium
145,1/7/2011,Spring,January,7,0,Friday,Clear,8.2,10.605,69,8.9981,8,76,84,Weekday,Medium
146,1/7/2011,Spring,January,8,0,Friday,Clear,8.2,9.85,51,16.9979,20,190,210,Weekday,Medium
147,1/7/2011,Spring,January,9,0,Friday,Clear,8.2,9.09,47,19.9995,9,125,134,Weekday,Medium
148,1/7/2011,Spring,January,10,0,Friday,Clear,9.02,9.85,37,22.0028,16,47,63,Weekday,Medium
149,1/7/2011,Spring,January,11,0,Friday,Misty,8.2,9.85,40,15.0013,19,48,67,Weekday,Medium
150,1/7/2011,Spring,January,12,0,Friday,Misty,8.2,9.85,37,16.9979,9,50,59,Weekday,Medium
151,1/7/2011,Spring,January,13,0,Friday,Misty,8.2,9.09,37,19.0012,9,64,73,Weekday,Medium
152,1/7/2011,Spring,January,14,0,Friday,Misty,8.2,9.85,40,16.9979,7,43,50,Weekday,Medium
153,1/7/2011,Spring,January,15,0,Friday,Misty,8.2,10.605,37,11.0014,9,63,72,Weekday,Medium
154,1/7/2011,Spring,January,16,0,Friday,Misty,8.2,10.605,37,11.0014,5,82,87,Weekday,Medium
155,1/7/2011,Spring,January,17,0,Friday,Misty,8.2,12.88,37,0,9,178,187,Weekday,Medium
156,1/7/2011,Spring,January,18,0,Friday,Clear,8.2,11.365,40,6.0032,7,116,123,Weekday,Medium
157,1/7/2011,Spring,January,19,0,Friday,Clear,6.56,9.85,55,6.0032,3,92,95,Weekday,Medium
158,1/7/2011,Spring,January,20,0,Friday,Clear,7.38,10.605,47,7.0015,1,50,51,Weekday,Medium
159,1/7/2011,Spring,January,21,0,Friday,Clear,7.38,9.85,47,8.9981,0,39,39,Weekday,Medium
160,1/7/2011,Spring,January,22,0,Friday,Misty,7.38,9.85,43,11.0014,2,34,36,Weekday,Medium
161,1/7/2011,Spring,January,23,0,Friday,Misty,7.38,9.85,51,11.0014,1,14,15,Weekday,Medium
162,1/8/2011,Spring,January,0,0,Saturday,Misty,7.38,9.85,51,11.0014,1,24,25,Weekend,Medium
163,1/8/2011,Spring,January,1,0,Saturday,Misty,7.38,10.605,55,6.0032,1,15,16,Weekend,Medium
164,1/8/2011,Spring,January,2,0,Saturday,Misty,7.38,12.12,55,0,3,13,16,Weekend,Medium
165,1/8/2011,Spring,January,3,0,Saturday,Light Rainsnow,7.38,9.85,55,11.0014,0,7,7,Weekend,Medium
166,1/8/2011,Spring,January,4,0,Saturday,Light Rainsnow,7.38,9.85,55,11.0014,0,1,1,Weekend,Medium
167,1/8/2011,Spring,January,5,0,Saturday,Misty,6.56,8.335,74,11.0014,0,5,5,Weekend,High
168,1/8/2011,Spring,January,6,0,Saturday,Misty,6.56,8.335,74,11.0014,0,2,2,Weekend,High
169,1/8/2011,Spring,January,7,0,Saturday,Misty,6.56,9.09,74,7.0015,1,8,9,Weekend,High
170,1/8/2011,Spring,January,8,0,Saturday,Light Rainsnow,6.56,9.09,93,7.0015,0,15,15,Weekend,High
171,1/8/2011,Spring,January,9,0,Saturday,Light Rainsnow,6.56,9.09,93,7.0015,0,20,20,Weekend,High
172,1/8/2011,Spring,January,10,0,Saturday,Misty,7.38,9.85,80,11.0014,5,56,61,Weekend,High
173,1/8/2011,Spring,January,11,0,Saturday,Misty,8.2,9.09,69,26.0027,2,60,62,Weekend,Medium
174,1/8/2011,Spring,January,12,0,Saturday,Misty,8.2,9.09,59,23.9994,8,90,98,Weekend,Medium
175,1/8/2011,Spring,January,13,0,Saturday,Clear,8.2,9.09,44,22.0028,7,95,102,Weekend,Medium
176,1/8/2011,Spring,January,14,0,Saturday,Clear,8.2,8.335,32,32.9975,12,83,95,Weekend,Low
177,1/8/2011,Spring,January,15,0,Saturday,Clear,8.2,8.335,32,30.0026,5,69,74,Weekend,Low
178,1/8/2011,Spring,January,16,0,Saturday,Clear,7.38,6.82,29,30.0026,8,68,76,Weekend,Low
179,1/8/2011,Spring,January,17,0,Saturday,Clear,6.56,6.06,37,36.9974,5,64,69,Weekend,Medium
180,1/8/2011,Spring,January,18,0,Saturday,Clear,5.74,6.06,39,19.9995,3,52,55,Weekend,Medium
181,1/8/2011,Spring,January,19,0,Saturday,Clear,5.74,6.06,36,16.9979,4,26,30,Weekend,Medium
182,1/8/2011,Spring,January,20,0,Saturday,Clear,4.92,6.06,36,16.9979,0,28,28,Weekend,Medium
183,1/8/2011,Spring,January,21,0,Saturday,Clear,4.92,5.305,39,23.9994,2,35,37,Weekend,Medium
184,1/8/2011,Spring,January,22,0,Saturday,Clear,4.92,5.305,36,26.0027,1,33,34,Weekend,Medium
185,1/8/2011,Spring,January,23,0,Saturday,Clear,4.1,3.03,39,30.0026,0,22,22,Weekend,Medium
186,1/9/2011,Spring,January,0,0,Sunday,Clear,4.1,3.79,42,26.0027,1,24,25,Weekend,Medium
187,1/9/2011,Spring,January,1,0,Sunday,Clear,4.1,3.03,42,31.0009,0,12,12,Weekend,Medium
188,1/9/2011,Spring,January,2,0,Sunday,Clear,4.1,3.03,46,31.0009,0,11,11,Weekend,Medium
189,1/9/2011,Spring,January,3,0,Sunday,Clear,4.1,3.79,46,27.9993,0,4,4,Weekend,Medium
190,1/9/2011,Spring,January,4,0,Sunday,Clear,3.28,4.545,53,12.998,0,1,1,Weekend,Medium
191,1/9/2011,Spring,January,5,0,Sunday,Clear,3.28,4.545,53,12.998,0,1,1,Weekend,Medium
192,1/9/2011,Spring,January,6,0,Sunday,Clear,4.1,4.545,49,19.0012,0,1,1,Weekend,Medium
193,1/9/2011,Spring,January,7,0,Sunday,Clear,3.28,4.545,53,12.998,1,5,6,Weekend,Medium
194,1/9/2011,Spring,January,8,0,Sunday,Clear,4.1,4.545,49,19.0012,0,10,10,Weekend,Medium
195,1/9/2011,Spring,January,9,0,Sunday,Clear,4.92,3.79,46,35.0008,0,19,19,Weekend,Medium
196,1/9/2011,Spring,January,10,0,Sunday,Clear,5.74,5.305,43,26.0027,0,49,49,Weekend,Medium
197,1/9/2011,Spring,January,11,0,Sunday,Clear,6.56,6.06,40,35.0008,2,47,49,Weekend,Medium
198,1/9/2011,Spring,January,12,0,Sunday,Clear,7.38,6.82,37,30.0026,4,79,83,Weekend,Medium
199,1/9/2011,Spring,January,13,0,Sunday,Clear,8.2,8.335,34,30.0026,6,69,75,Weekend,Low
200,1/9/2011,Spring,January,14,0,Sunday,Clear,9.02,9.09,32,31.0009,8,64,72,Weekend,Low
201,1/9/2011,Spring,January,15,0,Sunday,Clear,9.02,9.85,35,23.9994,5,77,82,Weekend,Low
202,1/9/2011,Spring,January,16,0,Sunday,Clear,8.2,8.335,34,30.0026,13,79,92,Weekend,Low
203,1/9/2011,Spring,January,17,0,Sunday,Clear,7.38,7.575,37,26.0027,3,59,62,Weekend,Medium
204,1/9/2011,Spring,January,18,0,Sunday,Clear,6.56,6.82,40,22.0028,4,44,48,Weekend,Medium
205,1/9/2011,Spring,January,19,0,Sunday,Clear,6.56,6.82,43,22.0028,1,40,41,Weekend,Medium
206,1/9/2011,Spring,January,20,0,Sunday,Clear,5.74,6.06,46,16.9979,0,38,38,Weekend,Medium
207,1/9/2011,Spring,January,21,0,Sunday,Clear,5.74,5.305,46,27.9993,1,19,20,Weekend,Medium
208,1/9/2011,Spring,January,22,0,Sunday,Clear,5.74,6.06,46,19.9995,5,10,15,Weekend,Medium
209,1/9/2011,Spring,January,23,0,Sunday,Clear,4.92,6.82,50,12.998,0,6,6,Weekend,Medium
210,1/10/2011,Spring,January,0,0,Monday,Clear,4.92,6.06,50,19.0012,2,3,5,Weekday,Medium
211,1/10/2011,Spring,January,1,0,Monday,Clear,4.92,6.06,50,19.0012,1,0,1,Weekday,Medium
212,1/10/2011,Spring,January,2,0,Monday,Clear,4.92,6.06,50,15.0013,0,3,3,Weekday,Medium
213,1/10/2011,Spring,January,3,0,Monday,Clear,4.92,6.06,50,15.0013,0,1,1,Weekday,Medium
214,1/10/2011,Spring,January,4,0,Monday,Clear,4.1,6.06,54,8.9981,1,2,3,Weekday,Medium
215,1/10/2011,Spring,January,5,0,Monday,Clear,4.1,5.305,54,16.9979,0,3,3,Weekday,Medium
216,1/10/2011,Spring,January,6,0,Monday,Clear,4.92,6.06,50,19.0012,0,31,31,Weekday,Medium
217,1/10/2011,Spring,January,7,0,Monday,Clear,4.92,6.06,50,15.0013,2,75,77,Weekday,Medium
218,1/10/2011,Spring,January,8,0,Monday,Misty,4.92,6.06,50,19.0012,4,184,188,Weekday,Medium
219,1/10/2011,Spring,January,9,0,Monday,Misty,5.74,6.06,50,16.9979,2,92,94,Weekday,Medium
220,1/10/2011,Spring,January,10,0,Monday,Misty,5.74,6.06,50,19.9995,0,31,31,Weekday,Medium
221,1/10/2011,Spring,January,11,0,Monday,Misty,6.56,6.82,47,19.0012,2,28,30,Weekday,Medium
222,1/10/2011,Spring,January,12,0,Monday,Misty,8.2,9.09,40,19.0012,5,47,52,Weekday,Medium
223,1/10/2011,Spring,January,13,0,Monday,Misty,8.2,9.09,40,19.0012,4,50,54,Weekday,Medium
224,1/10/2011,Spring,January,14,0,Monday,Misty,8.2,9.85,40,15.0013,0,47,47,Weekday,Medium
225,1/10/2011,Spring,January,15,0,Monday,Misty,8.2,9.85,40,15.0013,2,43,45,Weekday,Medium
226,1/10/2011,Spring,January,16,0,Monday,Clear,8.2,10.605,40,8.9981,4,70,74,Weekday,Medium
227,1/10/2011,Spring,January,17,0,Monday,Clear,8.2,11.365,40,7.0015,4,174,178,Weekday,Medium
228,1/10/2011,Spring,January,18,0,Monday,Clear,8.2,9.85,40,15.0013,1,154,155,Weekday,Medium
229,1/10/2011,Spring,January,19,0,Monday,Clear,6.56,8.335,47,11.0014,3,92,95,Weekday,Medium
230,1/10/2011,Spring,January,20,0,Monday,Clear,6.56,8.335,50,11.0014,1,73,74,Weekday,Medium
231,1/10/2011,Spring,January,21,0,Monday,Clear,5.74,6.82,59,12.998,1,37,38,Weekday,Medium
232,1/10/2011,Spring,January,22,0,Monday,Clear,5.74,7.575,59,11.0014,2,22,24,Weekday,Medium
233,1/10/2011,Spring,January,23,0,Monday,Clear,5.74,7.575,59,11.0014,0,18,18,Weekday,Medium
234,1/11/2011,Spring,January,0,0,Tuesday,Clear,5.74,8.335,59,7.0015,2,10,12,Weekday,Medium
235,1/11/2011,Spring,January,1,0,Tuesday,Clear,5.74,7.575,59,11.0014,0,3,3,Weekday,Medium
236,1/11/2011,Spring,January,2,0,Tuesday,Misty,6.56,7.575,55,12.998,0,3,3,Weekday,Medium
237,1/11/2011,Spring,January,5,0,Tuesday,Misty,6.56,9.09,55,8.9981,0,6,6,Weekday,Medium
238,1/11/2011,Spring,January,6,0,Tuesday,Misty,6.56,9.09,55,8.9981,0,27,27,Weekday,Medium
239,1/11/2011,Spring,January,7,0,Tuesday,Misty,6.56,11.365,55,0,2,97,99,Weekday,Medium
240,1/11/2011,Spring,January,8,0,Tuesday,Misty,7.38,10.605,51,6.0032,3,214,217,Weekday,Medium
241,1/11/2011,Spring,January,9,0,Tuesday,Misty,7.38,9.85,51,11.0014,3,127,130,Weekday,Medium
242,1/11/2011,Spring,January,10,0,Tuesday,Misty,8.2,10.605,51,11.0014,3,51,54,Weekday,Medium
